NOMBRE;DNI;FECHA_NACIMIENTO;ESTADO_CIVIL;NUMERO_HIJOS;DIRECCION;DISTRITO;TELEFONO;EMAIL;BANCO;CUENTA_BANCARIA;CCI;FECHA_INGRESO;TIPO;FECHA_CAMBIO_SOCIO;OBSERVACIONES
CLARA;12345678;15/03/1990;Soltero(a);0;Av. Principal 123;Lima;999888777;clara@email.com;BCP;1,23457E+15;2,12346E+17;01/01/2023;Junior;;Asesora dedicada
CARMEN;23456789;22/07/1985;Casado(a);2;Calle Secundaria 456;Lima;999777666;carmen@email.com;Interbank;9,87654E+15;3,98765E+17;01/02/2023;Junior;;Líder de equipo con experiencia
CATHERINE;34567890;10/12/1988;Soltero(a);1;Jr. Comercial 789;Lima;999666555;catherine@email.com;Scotiabank;5,55567E+15;9,55557E+17;01/03/2023;Junior;;Closer experto en cierres
GILES;45678901;05/09/1992;Conviviente;0;Av. Industrial 321;Lima;999555444;giles@email.com;BBVA;1,11122E+15;1,11112E+17;01/04/2023;Junior;;Especialista en ventas directas
BRUNO;56789012;18/11/1987;Casado(a);1;Calle Residencial 654;Lima;999444333;bruno@email.com;BCP;7,77789E+15;2,77779E+17;01/05/2023;Junior;;Supervisor de equipo
KARINA;67890123;12/04/1991;Soltero(a);0;Av. Los Pinos 789;Lima;999333222;karina@email.com;BCP;1,11122E+15;2,11112E+17;01/06/2023;Junior;;Asesora proactiva
ERICK;78901234;25/08/1986;Casado(a);1;Jr. San Martín 456;Lima;999222111;erick@email.com;Interbank;2,22233E+15;3,22223E+17;01/07/2023;Junior;;Especialista en captación
EDWIN;89012345;03/01/1989;Soltero(a);0;Calle Real 123;Lima;999111000;edwin@email.com;Scotiabank;3,33344E+15;9,33334E+17;01/08/2023;Junior;;Closer experimentado
JUAN;90123456;14/06/1993;Conviviente;0;Av. Arequipa 987;Lima;999000999;juan@email.com;BBVA;4,44456E+15;1,44446E+17;01/09/2023;Junior;;Asesor dedicado
ANGELLO;1234567;28/12/1984;Casado(a);2;Calle Tacna 654;Lima;998999888;angello@email.com;BCP;5,55567E+15;2,55557E+17;01/10/2023;Junior;;Líder de ventas
LASIELA;12345670;07/03/1990;Soltero(a);0;Jr. Huancavelica 321;Lima;998888777;lasiela@email.com;Interbank;6,66678E+15;3,66668E+17;01/11/2023;Junior;;Asesora comprometida
JANIS;23456701;19/09/1987;Casado(a);1;Av. Brasil 147;Lima;998777666;janis@email.com;Scotiabank;7,77789E+15;9,77779E+17;01/12/2023;Junior;;Especialista en cierres
SARA;34567012;02/05/1992;Soltero(a);0;Calle Lima 258;Lima;998666555;sara@email.com;BBVA;8,889E+15;1,8889E+17;02/01/2023;Junior;;Asesora dinámica
GRECIA;45670123;11/11/1988;Conviviente;0;Jr. Callao 369;Lima;998555444;grecia@email.com;BCP;9,999E+15;2,9999E+17;02/02/2023;Junior;;Closer efectiva
ISAURA;56701234;23/07/1985;Casado(a);1;Av. Venezuela 741;Lima;998444333;isaura@email.com;Interbank;1,11122E+11;3,00001E+17;02/03/2023;Junior;;Supervisora de equipo
SEBASTIAN;67012345;08/02/1991;Soltero(a);0;Calle Trujillo 852;Lima;998333222;sebastian@email.com;Scotiabank;1,11122E+15;9,11112E+17;02/04/2023;Junior;;Asesor motivado
MARIA DEL PILAR;70123456;16/10/1986;Casado(a);2;Jr. Piura 963;Lima;998222111;maria.pilar@email.com;BBVA;2,22233E+15;1,22223E+17;02/05/2023;Junior;;Asesora profesional
MERCEDES;1234560;30/04/1993;Soltero(a);0;Av. Chiclayo 159;Lima;998111000;mercedes@email.com;BCP;3,33344E+15;2,33334E+17;02/06/2023;Junior;;Especialista en ventas
DANIEL;12345601;05/12/1989;Conviviente;0;Calle Iquitos 753;Lima;998000999;daniel@email.com;Interbank;4,44456E+15;3,44446E+17;02/07/2023;Junior;;Asesor confiable
EDUARDO;23456012;21/08/1984;Casado(a);1;Jr. Cajamarca 951;Lima;997999888;eduardo@email.com;Scotiabank;5,55567E+15;9,55557E+17;02/08/2023;Junior;;Líder experimentado
PEDRO;34560123;13/03/1990;Soltero(a);0;Av. Huánuco 357;Lima;997888777;pedro@email.com;BBVA;6,66678E+15;1,66668E+17;02/09/2023;Junior;;Closer dedicado
JOSE;45601234;27/06/1987;Casado(a);1;Calle Ayacucho 486;Lima;997777666;jose@email.com;BCP;7,77789E+15;2,77779E+17;02/10/2023;Junior;;Asesor comprometido
ANDREA;56012345;09/01/1992;Soltero(a);0;Jr. Cusco 753;Lima;997666555;andrea@email.com;Interbank;8,889E+15;3,8889E+17;02/11/2023;Junior;;Asesora proactiva
ROCIO;60123450;18/05/1988;Conviviente;0;Av. Puno 159;Lima;997555444;rocio@email.com;Scotiabank;9,999E+15;9,9999E+17;02/12/2023;Junior;;Especialista en captación
ALONSO;1234561;04/09/1985;Casado(a);2;Calle Arequipa 753;Lima;997444333;alonso@email.com;BBVA;1,11122E+11;1,00001E+17;03/01/2023;Junior;;Supervisor de ventas
ERIKA;12345602;22/12/1991;Soltero(a);0;Jr. Tacna 951;Lima;997333222;erika@email.com;BCP;1,11122E+15;2,11112E+17;03/02/2023;Junior;;Asesora dinámica
LUZ ANDREA;23456013;07/07/1986;Casado(a);1;Av. Moquegua 357;Lima;997222111;luz.andrea@email.com;Interbank;2,22233E+15;3,22223E+17;03/03/2023;Junior;;Closer efectiva
